"Finance Cost","Custo do Parcelamento"
"Discount for payment at sight","Desconto para pagamento à vista"
"Set up installments and interest","Definir Parcelas e Juros"
"Order not found.","Pedido não localizado."
"Mercado Pago, refund notification","Mercado Pago, notificação de reembolso"
"The order %1, was refunded directly on Mercado Pago, you need to create an offline refund.","O pedido %1, foi reembolsado diretamente no Mercado Pago, você precisa realizar um reembolso offine."
Unavailable.,Indisponível.
"You should not be here...","Não é para você estar aqui..."
"Order Canceled.","Pedido cancelado."
"Transaction has been declined. Please try again later.","A transação foi recusada. Por favor, tente novamente mais tarde."
"%1 minutes","%1 minutos"
"1 hour","1 hora"
"12 hours","12 horas"
"1 day","1 dia"
"Payment for order %1 in store %2","Pagamento do pedido %1 na loja %2"
Tax,Imposto
"Awaiting payment of the Card.","Aguardando pagamento via Cartão."
"Awaiting payment.","Aguardando pagamento."
"Awaiting payment through Checkout Pro.","Aguardando pagamento por meio do Checkout Pro."
"Awaiting payment through Pix.","Aguardando pagamento via Pix."
"The gateway declined the transaction.","O gateway recusou a transação."
"Please select a category","Por favor, selecione uma categoria"
description,descrição
Production,Produção
"Sandbox - Testing environment","Sandbox - Ambiente de teste"
"Yes, Processed Order Synchronous","Sim, processar pedidos síncrono"
"No, Processed Order Asynchronous","Não, processar pedidos assíncrono"
"1 installment","1 parcela"
"2 installments","2 parcelas"
"3 installments","3 parcelas"
"4 installments","4 parcelas"
"5 installments","5 parcelas"
"6 installments","6 parcelas"
"7 installments","7 parcelas"
"8 installments","8 parcelas"
"9 installments","9 parcelas"
"10 installments","10 parcelas"
"11 installments","11 parcelas"
"12 installments","12 parcelas"
"13 installments","13 parcelas"
"14 installments","14 parcelas"
"15 installments","15 parcelas"
"16 installments","16 parcelas"
"17 installments","17 parcelas"
"18 installments","18 parcelas"
"19 installments","19 parcelas"
"20 installments","20 parcelas"
"21 installments","21 parcelas"
"22 installments","22 parcelas"
"23 installments","23 parcelas"
"24 installments","24 parcelas"
"25 installments","25 parcelas"
"26 installments","26 parcelas"
"27 installments","27 parcelas"
"28 installments","28 parcelas"
"29 installments","29 parcelas"
"30 installments","30 parcelas"
"31 installments","31 parcelas"
"32 installments","32 parcelas"
"33 installments","33 parcelas"
"34 installments","34 parcelas"
"35 installments","35 parcelas"
"36 installments","36 parcelas"
"Do Not Delete","Não Excluir"
name,nomme
"Authorization for future capture","Autorização para captura futura"
"Authorization for immediate capture","Autorização e captura imediata"
Configure,Configurar
Close,Fechar
"15 minutes","15 minutos"
"30 minutes - recommended","30 minutos - recomendado"
"24 hours","24 horas"
"É necessário que na seção de Privacidade da sua loja contenha as seguintes informações do Mercado Pago sobre cookies criados e suas finalidades. Esta informação é obrigatória pela Lei Geral de Proteção de Dados, Lei nº 13.709/2018.","É necessário que na seção de Privacidade da sua loja contenha as seguintes informações do Mercado Pago sobre cookies criados e suas finalidades. Esta informação é obrigatória pela Lei Geral de Proteção de Dados, Lei nº 13.709/2018."
"Nome do novo cookie: "edsid"","Nome do novo cookie: "edsid""
"Description of use: ...","Description of use: ..."
